Name,Price,Picture link
Classic Fit Mesh Polo Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/classic-fit-mesh-polo-shirt-401483.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar401483_colorname=Newport%20Navy
Cotton Jersey Pocket T-Shirt,"€ 65,00",https://www.ralphlauren.eu/pt/en/cotton-jersey-pocket-t-shirt-285845.html?dwvar285845_colorname=Ink&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Double-Knit Half-Zip Pullover,"€ 149,00",https://www.ralphlauren.eu/pt/en/double-knit-half-zip-pullover-509050.html?dwvar509050_colorname=Aviator%20Navy%2FC2712&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Long-Sleeve Polo,"€ 119,00 - € 129,00",https://www.ralphlauren.eu/pt/en/classic-fit-long-sleeve-polo-492027.html?cgid=men-big-tall&dwvar492027_colorname=Dark%20Grey%20Heather&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Packable Down Gilet,"€ 249,00",https://www.ralphlauren.eu/pt/en/packable-down-gilet-492010.html?cgid=men-big-tall&dwvar492010_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Oxford Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-oxford-shirt-460022.html?cgid=men-big-tall&dwvar460022_colorname=Blue%20Lagoon&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Mesh Polo Shirt,"€ 99,00 - € 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-mesh-polo-shirt-491992.html?cgid=men-big-tall&dwvar491992_colorname=Estate%20Olive%2FC4983&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Cable-Knit Cotton Jumper,"€ 149,00",https://www.ralphlauren.eu/pt/en/cable-knit-cotton-jumper-447000.html?cgid=men-big-tall&dwvar447000_colorname=Fawn%20Grey%20Heather&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Faux-Fur-Trim Down Parka,"€ 699,00 - € 769,00",https://www.ralphlauren.eu/pt/en/faux-fur-trim-down-parka-492011.html?cgid=men-big-tall&dwvar492011_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Plaid Oxford Shirt,"€ 109,00 - € 129,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-oxford-shirt-492019.html?cgid=men-big-tall&dwvar492019_colorname=4123%20Rustic%20Red%2FYellow%20Mu&webcat=MEN%2FClothing%2FBig%20%20%20Tall
The Iconic Quilted Car Coat,"€ 449,00",https://www.ralphlauren.eu/pt/en/the-iconic-quilted-car-coat-492013.html?cgid=men-big-tall&dwvar492013_colorname=Polo%20Black&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Twill Hooded Jacket,"€ 299,00",https://www.ralphlauren.eu/pt/en/twill-hooded-jacket-492023.html?cgid=men-big-tall&dwvar492023_colorname=Blue%20Saturn&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Oxford Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-oxford-shirt-492006.html?cgid=men-big-tall&dwvar492006_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
