Name,Price,Picture link
Slim Fit Oxford Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-492809.html?cgid=men-clothing-casual-shirts&dwvar492809_colorname=Bsr%20Blue&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Plaid Twill Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/custom-fit-plaid-twill-shirt-489860.html?cgid=men-clothing-casual-shirts&dwvar489860_colorname=Royal%2F%20Black&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Performance Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/slim-fit-performance-shirt-521073.html?dwvar521073_colorname=Elite%20Blue&cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Plaid Twill Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/custom-fit-plaid-twill-shirt-492817.html?cgid=men-clothing-casual-shirts&dwvar492817_colorname=4087%20Steel%20Grey%2FCream&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Striped Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/custom-fit-striped-shirt-509310.html?cgid=men-clothing-casual-shirts&dwvar509310_colorname=4331b%20Heather%20Grey%2FWhite&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Brushed Twill Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/slim-fit-brushed-twill-shirt-509307.html?cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts&dwvar509307_colorname=4396a%20Light%20Blue%20Heather
Classic Fit Plaid Twill Shirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-twill-shirt-492714.html?cgid=men-clothing-casual-shirts&dwvar492714_colorname=4197%20Winter%20Green%2FTan%20Mul&webcat=MEN%2FClothing%2FCasual%20Shirts
Knit Oxford Shirt,"€ 115,00",https://www.ralphlauren.eu/pt/en/knit%C2%A0oxford-shirt-498623.html?cgid=men-clothing-casual-shirts&dwvar498623_colorname=White&webcat=MEN%2FClothing%2FCasual%20Shirts
Classic Fit Plaid Twill Shirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/classic-fit-plaid-twill-shirt-492721.html?cgid=men-clothing-casual-shirts&dwvar492721_colorname=4198%20Vibe%20Red%2FTan%20Multi&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-446896.html?cgid=men-clothing-casual-shirts&dwvar446896_colorname=Indigo&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-470840.html?cgid=men-clothing-casual-shirts&dwvar470840_colorname=Perfect%20Grey&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Poplin Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-poplin-shirt-440893.html?cgid=men-clothing-casual-shirts&dwvar440893_colorname=Newport%20Navy&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/custom-fit-oxford-shirt-483621.html?dwvar483621_colorname=Aubergine&cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/custom-fit-oxford-shirt-501553.html?dwvar501553_colorname=Polo%20Black&cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Corduroy Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-corduroy-shirt-492823.html?cgid=men-clothing-casual-shirts&dwvar492823_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Checked Shirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/slim-fit-checked-shirt-509330.html?cgid=men-clothing-casual-shirts&dwvar509330_colorname=4382%20Navy%2FCream&webcat=MEN%2FClothing%2FCasual%20Shirts
Classic Fit Denim Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/classic-fit-denim-shirt-279039.html?cgid=men-clothing-casual-shirts&dwvar279039_colorname=Denim&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Floral Poplin Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-floral-poplin-shirt-492820.html?cgid=men-clothing-casual-shirts&dwvar492820_colorname=4182%20Blue%20Bud&webcat=MEN%2FClothing%2FCasual%20Shirts
Classic Fit Western Shirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/classic-fit-western-shirt-507039.html?dwvar507039_colorname=Borden%20Wash&cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Checked Poplin Shirt,"€ 99,00 - € 105,00",https://www.ralphlauren.eu/pt/en/slim-fit-checked-poplin-shirt-440892.html?cgid=men-clothing-casual-shirts&dwvar440892_colorname=Black%2FWhite%20Check&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Plaid Twill Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/custom-fit-plaid-twill-shirt-492814.html?cgid=men-clothing-casual-shirts&dwvar492814_colorname=4086%20Pewter%2FCream&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Plaid Poplin Shirt,"€ 99,00 - € 119,00",https://www.ralphlauren.eu/pt/en/custom-fit-plaid-poplin-shirt-481545.html?cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts&dwvar481545_colorname=4035b%20Green%20Multi
Custom Fit Plaid Oxford Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/custom-fit-plaid-oxford-shirt-504673.html?cgid=men-clothing-casual-shirts&dwvar504673_colorname=4139%20Pine%2FNavy%20Multi&webcat=MEN%2FClothing%2FCasual%20Shirts
Classic Fit Striped Shirt,"€ 105,00",https://www.ralphlauren.eu/pt/en/classic-fit-striped-shirt-440891.html?cgid=men-clothing-casual-shirts&dwvar440891_colorname=Black%2FWhite%20Hairline%20Stri&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Gingham Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/custom-fit-gingham-shirt-492797.html?cgid=men-clothing-casual-shirts&dwvar492797_colorname=2365b%20Chestnut%2FWhite&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Striped Poplin Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-striped-poplin-shirt-491012.html?cgid=men-clothing-casual-shirts&dwvar491012_colorname=4157%20Yatch%20Blue%2FWhite&webcat=MEN%2FClothing%2FCasual%20Shirts
Featherweight Mesh Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/featherweight-mesh-shirt-470975.html?cgid=men-clothing-casual-shirts&dwvar470975_colorname=Aviator%20Navy&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-481547.html?cgid=men-clothing-casual-shirts&dwvar481547_colorname=Aubergine&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Oxford Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-492810.html?cgid=men-clothing-casual-shirts&dwvar492810_colorname=Yellow%20Oxford&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Oxford Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-506992.html?cgid=men-clothing-casual-shirts&dwvar506992_colorname=Bsr%20Blue&webcat=MEN%2FClothing%2FCasual%20Shirts
Classic Fit Poplin Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/classic-fit-poplin-shirt-440890.html?cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts&dwvar440890_colorname=Blue%20End%20On%20End
The Iconic Oxford Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/the-iconic-oxford-shirt-342680.html?dwvar342680_colorname=Pink&cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Corduroy Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/custom-fit-corduroy-shirt-491003.html?cgid=men-clothing-casual-shirts&dwvar491003_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FCasual%20Shirts
Slim Fit Oxford Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-oxford-shirt-470840A1.html?cgid=men-clothing-casual-shirts&webcat=MEN%2FClothing%2FCasual%20Shirts&dwvar470840A1_colorname=Surrey%20Tan
Floral-Print Mesh Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/floral-print-mesh-shirt-509347.html?cgid=men-clothing-casual-shirts&dwvar509347_colorname=Coconut%20Grove%20Floral%20Navy&webcat=MEN%2FClothing%2FCasual%20Shirts
Custom Fit Gingham Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/custom-fit-gingham-shirt-492796.html?cgid=men-clothing-casual-shirts&dwvar492796_colorname=Burgundy%2FWhite&webcat=MEN%2FClothing%2FCasual%20Shirts
