Name,Price,Picture link
Slim Fit Poplin Shirt,"€ 159,00",https://www.ralphlauren.eu/pt/en/slim-fit-poplin-shirt-488563.html?cgid=men-clothing-dress-shirts&dwvar488563_colorname=White&webcat=MEN%2FClothing%2FFormal%20Shirts
Slim Fit Martini Bear Shirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/slim-fit-martini-bear-shirt-449966.html?cgid=men-clothing-dress-shirts&dwvar449966_colorname=White&webcat=MEN%2FClothing%2FFormal%20Shirts
Slim Fit Tartan Shirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/slim-fit-tartan-shirt-520716.html?cgid=men-clothing-dress-shirts&dwvar520716_colorname=Brick%2FWhite%20Multi&webcat=MEN%2FClothing%2FFormal%20Shirts
Custom Fit Easy Care Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/custom-fit-easy-care-shirt-449982.html?cgid=men-clothing-dress-shirts&dwvar449982_colorname=White&webcat=MEN%2FClothing%2FFormal%20Shirts
Custom Fit Striped Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/custom-fit-striped-shirt-475676.html?cgid=men-clothing-dress-shirts&webcat=MEN%2FClothing%2FFormal%20Shirts&dwvar475676_colorname=Blue%20And%20White
Custom Fit Easy Care Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/custom-fit-easy-care-shirt-449983.html?cgid=men-clothing-dress-shirts&dwvar449983_colorname=3210a%20Light%20Blue%2FWhite&webcat=MEN%2FClothing%2FFormal%20Shirts
Custom Fit Oxford Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/custom-fit-oxford-shirt-479576.html?cgid=men-clothing-dress-shirts&dwvar479576_colorname=White&webcat=MEN%2FClothing%2FFormal%20Shirts
Slim Fit Easy Care Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/slim-fit-easy-care-shirt-531232.html?dwvar531232_colorname=3215a%20Mini%20Blue%2FWhite&cgid=men-clothing-dress-shirts&webcat=MEN%2FClothing%2FFormal%20Shirts
Slim Fit Easy Care Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-easy-care-shirt-449976.html?cgid=men-clothing-dress-shirts&dwvar449976_colorname=3210a%20Light%20Blue%2FWhite&webcat=MEN%2FClothing%2FFormal%20Shirts
Slim Fit Easy Care Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/slim-fit-easy-care-shirt-449976A1.html?cgid=men-clothing-dress-shirts&dwvar449976A1_colorname=3210b%20Medium%20Ble%2FWhite&webcat=MEN%2FClothing%2FFormal%20Shirts
