Name,Price,Picture link
Rugby Sweatshirt,"€ 229,00",https://www.ralphlauren.eu/pt/en/rugby-sweatshirt-506807.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar506807_colorname=Newport%20Navy%20Multi
Polo Half-Zip Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/polo-half-zip-sweatshirt-504907.html?cgid=men-clothing-hoodies-sweatshirts&dwvar504907_colorname=Active%20Royal&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Sport Track Jacket,"€ 169,00",https://www.ralphlauren.eu/pt/en/polo-sport-track-jacket-515055.html?cgid=men-clothing-hoodies-sweatshirts&dwvar515055_colorname=Sapphire%20Star&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-knitted Hoodie,"€ 139,00",https://www.ralphlauren.eu/pt/en/double-knitted-hoodie-457278.html?cgid=men-clothing-hoodies-sweatshirts&dwvar457278_colorname=Polo%20Black&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-knitted Hoodie,"€ 139,00",https://www.ralphlauren.eu/pt/en/double-knitted-hoodie-457433.html?cgid=men-clothing-hoodies-sweatshirts&dwvar457433_colorname=White&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-Knit Hoodie,"€ 139,00",https://www.ralphlauren.eu/pt/en/double-knit-hoodie-412097.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar412097_colorname=Aviator%20Navy
Polo Bear Fleece Hoodie,"€ 179,00",https://www.ralphlauren.eu/pt/en/polo-bear-fleece-hoodie-506832.html?cgid=men-clothing-hoodies-sweatshirts&dwvar506832_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Graphic Sweatshirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/fleece-graphic-sweatshirt-499783.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar499783_colorname=Loft%20Heather
Lunar New Year Bear Hoodie,"€ 179,00",https://www.ralphlauren.eu/pt/en/lunar-new-year-bear-hoodie-509314.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar509314_colorname=Polo%20Black
Double-Knit Track Jacket,"€ 149,00",https://www.ralphlauren.eu/pt/en/double-knit-track-jacket-521085.html?cgid=men-clothing-hoodies-sweatshirts&dwvar521085_colorname=Aviator%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Graphic Half-Zip Pullover,"€ 189,00",https://www.ralphlauren.eu/pt/en/graphic-half-zip-pullover-481525.html?cgid=men-clothing-hoodies-sweatshirts&dwvar481525_colorname=White%20Multi&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Cotton Interlock Track Jacket,"€ 169,00",https://www.ralphlauren.eu/pt/en/cotton-interlock-track-jacket-481541.html?cgid=men-clothing-hoodies-sweatshirts&dwvar481541_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-Knit Sweatshirt,"€ 129,00",https://www.ralphlauren.eu/pt/en/double-knit-sweatshirt-468636.html?cgid=men-clothing-hoodies-sweatshirts&dwvar468636_colorname=Aviator%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Cotton Interlock Track Jacket,"€ 139,00",https://www.ralphlauren.eu/pt/en/cotton-interlock-track-jacket-470998.html?cgid=men-clothing-hoodies-sweatshirts&dwvar470998_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Funnelneck Sweatshirt,"€ 299,00",https://www.ralphlauren.eu/pt/en/fleece-funnelneck-sweatshirt-492803.html?cgid=men-clothing-hoodies-sweatshirts&dwvar492803_colorname=Polo%20Black&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Fleece Hoodie,"€ 149,00",https://www.ralphlauren.eu/pt/en/polo-fleece-hoodie-489422.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489422_colorname=Ralph%20Red&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Logo Pullover,"€ 169,00",https://www.ralphlauren.eu/pt/en/logo-pullover-506823.html?cgid=men-clothing-hoodies-sweatshirts&dwvar506823_colorname=Rl2000%20Red%20Multi&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Ski Bear Fleece Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/ski-bear-fleece-sweatshirt-506135.html?cgid=men-clothing-hoodies-sweatshirts&dwvar506135_colorname=White&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Bear Fleece Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/bear-fleece-sweatshirt-506134.html?dwvar506134_colorname=Polo%20Black&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Bear Fleece Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/polo-bear-fleece-sweatshirt-506831.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar506831_colorname=Andover%20Heather
Hybrid Down Hoodie,"€ 249,00",https://www.ralphlauren.eu/pt/en/hybrid-down-hoodie-489424.html?dwvar489424_colorname=Cruise%20Navy&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Waffle-Knit Cotton Hoodie,"€ 119,00",https://www.ralphlauren.eu/pt/en/waffle-knit-cotton-hoodie-521081.html?cgid=men-clothing-hoodies-sweatshirts&dwvar521081_colorname=RL%202000%20Red&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-Knit Track Jacket,"€ 149,00",https://www.ralphlauren.eu/pt/en/double-knit-track-jacket-492734.html?cgid=men-clothing-hoodies-sweatshirts&dwvar492734_colorname=Aviator%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Camo Fleece Hoodie,"€ 169,00",https://www.ralphlauren.eu/pt/en/camo-fleece-hoodie-489303.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar489303_colorname=British%20Elmwood%20Camo
Camo Double-Knit Hoodie,"€ 269,00",https://www.ralphlauren.eu/pt/en/camo-double-knit-hoodie-489436.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489436_colorname=Camo%20Multi&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Crewneck Sweatshirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/fleece-crewneck-sweatshirt-490878.html?cgid=men-clothing-hoodies-sweatshirts&dwvar490878_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Logo Hooded T-Shirt,"€ 89,00",https://www.ralphlauren.eu/pt/en/logo-hooded-t-shirt-489332.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489332_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Preppy Bear Fleece Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/preppy-bear-fleece-sweatshirt-499785.html?cgid=men-clothing-hoodies-sweatshirts&dwvar499785_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Hoodie,"€ 149,00",https://www.ralphlauren.eu/pt/en/fleece-hoodie-490877.html?cgid=men-clothing-hoodies-sweatshirts&dwvar490877_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Jersey Half-Zip Pullover,"€ 139,00",https://www.ralphlauren.eu/pt/en/jersey-half-zip-pullover-462516.html?cgid=men-clothing-hoodies-sweatshirts&dwvar462516_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Sport Fleece Sweatshirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/polo-sport-fleece-sweatshirt-480621.html?cgid=men-clothing-hoodies-sweatshirts&dwvar480621_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
