Name,Price,Picture link
Sullivan Slim Stretch Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-stretch-jean-490841.html?cgid=men-clothing-jeans&dwvar490841_colorname=Murphy%20Stretch&webcat=MEN%2FClothing%2FJeans
Sullivan Slim Stretch Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-stretch-jean-490842.html?cgid=men-clothing-jeans&dwvar490842_colorname=Hdn%20Black%20Stretch&webcat=MEN%2FClothing%2FJeans
Sullivan Slim Stretch Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-stretch-jean-493365.html?cgid=men-clothing-jeans&dwvar493365_colorname=Rinse%20Stretch&webcat=MEN%2FClothing%2FJeans
Hampton Relaxed Straight Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/hampton-relaxed-straight-jean-427620.html?cgid=men-clothing-jeans&dwvar427620_colorname=Rinse%20Stretch&webcat=MEN%2FClothing%2FJeans
Sullivan Slim Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-jean-397986.html?cgid=men-clothing-jeans&webcat=MEN%2FClothing%2FJeans&dwvar397986_colorname=Traverse
Sullivan Slim Graphic Jean,"€ 139,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-graphic-jean-489607.html?cgid=men-clothing-jeans&webcat=MEN%2FClothing%2FJeans&dwvar489607_colorname=Gipson%20Plaid
Varick Slim Straight Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/varick-slim-straight-jean-468648.html?cgid=men-clothing-jeans&dwvar468648_colorname=Rinse%20Stretch&webcat=MEN%2FClothing%2FJeans
Varick Slim Straight Jean,"€ 149,00",https://www.ralphlauren.eu/pt/en/varick-slim-straight-jean-462060.html?cgid=men-clothing-jeans&dwvar462060_colorname=Murphy&webcat=MEN%2FClothing%2FJeans
Sullivan Slim Performance Jean,"€ 179,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-performance-jean-468690.html?cgid=men-clothing-jeans&dwvar468690_colorname=Steele%20Stretch&webcat=MEN%2FClothing%2FJeans
Sullivan Slim Stretch Jean,"€ 129,00",https://www.ralphlauren.eu/pt/en/sullivan-slim-stretch-jean-412087.html?cgid=men-clothing-jeans&dwvar412087_colorname=Warren%20Stretch&webcat=MEN%2FClothing%2FJeans
Eldridge Skinny Jean,"€ 169,00",https://www.ralphlauren.eu/pt/en/eldridge-skinny-jean-492659.html?dwvar492659_colorname=Myers%20Stretch&cgid=men-clothing-jeans&webcat=MEN%2FClothing%2FJeans
Hampton Relaxed Straight Jean,"€ 135,00",https://www.ralphlauren.eu/pt/en/hampton-relaxed-straight-jean-462063.html?cgid=men-clothing-jeans&dwvar462063_colorname=Dixon&webcat=MEN%2FClothing%2FJeans
Varick Slim Straight Jean,"€ 139,00",https://www.ralphlauren.eu/pt/en/varick-slim-straight-jean-490843.html?dwvar490843_colorname=Delmore%20Repaired&cgid=men-clothing-jeans&webcat=MEN%2FClothing%2FJeans
